Iteration,Loss,GradNorm,TimeMs
0,15.2782,40.5957,39.4084
1,4.36364,18.9452,162.129
2,0.977236,7.51735,297.585
3,0.678535,4.4594,429.63
4,0.526415,1.59237,553.571
5,0.491962,1.10535,677.031
6,0.453798,1.26496,804.149
7,0.384708,1.16244,926.79
8,0.369838,1.55776,1119.77
9,0.351511,0.7894,1239.44
10,0.338061,0.601722,1359.37
11,0.324159,0.77559,1490.52
12,0.309654,1.20663,1611.06
13,0.295697,0.61211,1735.1
14,0.288948,0.43242,1874.99
15,0.280135,0.571637,2003.56
16,0.272423,0.59576,2124.55
17,0.262441,0.501264,2245.83
18,0.257995,1.03714,2366.91
19,0.249954,0.431651,2489.29
20,0.245852,0.380965,2610.31
21,0.24013,0.41829,2731.31
22,0.232558,0.439287,2858.14
23,0.229243,0.890021,2984.9
24,0.221393,0.287043,3105.86
25,0.21852,0.284757,3226.97
26,0.213828,0.347108,3347.88
27,0.207542,0.478145,3477.8
28,0.204485,0.495112,3598.55
29,0.20163,0.172581,3719.43
30,0.200668,0.17371,3840.47
31,0.198969,0.245162,3973.6
32,0.197332,0.554598,4094.61
33,0.194316,0.267268,4215.57
34,0.191086,0.20003,4336.46
35,0.189182,0.191221,4457.28
36,0.18705,0.352184,4578.24
37,0.184524,0.181689,4699.13
38,0.182962,0.172244,4820.68
39,0.181462,0.357247,4941.66
40,0.179952,0.175612,5076.99
41,0.179035,0.17311,5197.81
42,0.176704,0.24059,5318.88
43,0.175973,0.31758,5454.13
44,0.174952,0.177671,5575.31
45,0.174016,0.127598,5696.2
46,0.173172,0.169238,5817.33
47,0.171591,0.245973,5948.08
48,0.170507,0.385013,6084.29
49,0.169124,0.170573,6210.18
50,0.168065,0.143395,6331.29
51,0.16734,0.162611,6452.15
52,0.166027,0.280801,6583.29
53,0.164655,0.163548,6704.13
54,0.16388,0.12034,6825.2
55,0.162945,0.175076,6946.23
56,0.162003,0.211381,7072.9
57,0.160977,0.164718,7204.91
58,0.159898,0.40805,7325.94
59,0.158499,0.174672,7446.78
60,0.158188,0.111201,7567.93
61,0.157486,0.0941131,7688.83
62,0.156461,0.162242,7810.09
63,0.155359,0.18952,7930.9
64,0.154789,0.202514,8078.87
65,0.154199,0.0936071,8205.44
66,0.153737,0.109517,8331.7
67,0.153301,0.174643,8452.49
68,0.152514,0.180682,8574.6
69,0.151644,0.304865,8695.59
70,0.150625,0.14025,8817.02
71,0.149923,0.127984,8938.07
72,0.149174,0.192501,9059.1
73,0.148575,0.197785,9180.13
74,0.14797,0.0962838,9306.4
75,0.147509,0.0984412,9427.73
76,0.146984,0.152628,9558.31
77,0.146065,0.154023,9679.1
78,0.145582,0.23513,9800.55
79,0.144993,0.106531,9921.73
80,0.144643,0.0963414,10042.8
81,0.144209,0.123392,10163.8
82,0.143432,0.253771,10284.8
83,0.142587,0.132425,10416.6
84,0.142117,0.0963476,10537.6
85,0.141631,0.158287,10658.4
86,0.141228,0.124745,10779.3
87,0.14071,0.114831,10903.4
88,0.139884,0.133709,11024.5
89,0.139725,0.269977,11166.4
90,0.139181,0.122214,11287.3
91,0.138772,0.0869255,11414
92,0.138168,0.119543,11543.6
93,0.137601,0.172624,11664.5
94,0.136981,0.167181,11785.6
95,0.136377,0.0954685,11906.8
96,0.13567,0.117428,12027.9
97,0.13525,0.157134,12148.8
98,0.134696,0.0920663,12269.7
99,0.134194,0.0987915,12390.8
100,0.133544,0.193561,12529.9
101,0.133107,0.1572,12661.6
102,0.13281,0.0903984,12782.5
103,0.132443,0.0960023,12903.8
104,0.132141,0.128822,13025
105,0.131496,0.185176,13146.3
106,0.131195,0.236979,13267.4
107,0.130695,0.0940108,13388.6
108,0.130412,0.0855567,13509.8
109,0.13011,0.128758,13648.2
110,0.129472,0.176273,13769.3
111,0.12947,0.366353,13890.7
112,0.128498,0.0997874,14011.7
113,0.128274,0.0655412,14132.8
114,0.128027,0.099494,14261.1
115,0.127721,0.139398,14382.2
116,0.12722,0.189824,14503.7
117,0.126643,0.160919,14630.7
118,0.126166,0.122644,14760.5
119,0.125855,0.101678,14881.7
120,0.125548,0.103038,15002.7
121,0.124905,0.305516,15123.5
122,0.124021,0.128885,15262
123,0.123666,0.089972,15406.4
124,0.123275,0.0894454,15527.6
125,0.122956,0.192932,15649.1
126,0.12247,0.103961,15794.4
127,0.121953,0.0762128,15915.6
128,0.121644,0.0992595,16036.4
129,0.121423,0.233306,16157.4
130,0.120903,0.0911247,16278.2
131,0.12056,0.0799373,16399.1
132,0.120247,0.0965178,16521.2
133,0.119625,0.186611,16642
134,0.11892,0.147037,16762.9
