Iteration,Loss,GradNorm,TimeMs
0,0.720052,2.44427,13.5532
1,0.603485,0.940674,20.4632
2,0.561098,0.727629,27.4041
3,0.486438,0.846817,34.5977
4,0.397478,0.603528,41.944
5,0.340929,0.751726,49.27
6,0.295539,0.349959,56.7014
7,0.280548,0.270179,64.1869
8,0.255523,0.227466,71.7304
9,0.236396,0.197742,79.285
10,0.221125,0.208053,86.8975
11,0.209855,0.16663,94.4738
12,0.197598,0.132489,102.109
13,0.184343,0.18103,109.7
14,0.173296,0.170897,117.31
15,0.165649,0.111389,124.93
16,0.155071,0.100197,132.545
17,0.147009,0.12344,140.165
18,0.140785,0.124643,147.773
19,0.136313,0.0859529,155.33
20,0.131782,0.082768,162.942
21,0.12577,0.0995578,170.553
22,0.123222,0.161705,178.143
23,0.11866,0.0660359,185.778
24,0.116168,0.0548673,193.365
25,0.113117,0.0692817,200.957
26,0.110423,0.111978,208.497
27,0.107623,0.0565742,216.111
28,0.105047,0.0547036,223.726
29,0.102714,0.0610507,231.197
30,0.100365,0.118613,238.05
31,0.0975346,0.0523598,244.916
32,0.0962788,0.0401871,251.781
33,0.094379,0.0475765,258.706
34,0.0925344,0.0732754,265.667
35,0.0906806,0.0472953,272.55
36,0.0888897,0.0402852,279.386
37,0.0876484,0.0452564,286.26
38,0.0863188,0.0504441,293.101
39,0.0851033,0.0372999,299.989
40,0.0839401,0.0366211,306.876
41,0.0821299,0.0471517,313.731
42,0.0816438,0.0854689,320.608
43,0.0801495,0.0312126,327.466
44,0.0794802,0.0270097,334.308
45,0.0783643,0.036761,341.158
46,0.0770154,0.0578397,347.937
47,0.075916,0.04953,354.791
48,0.0750344,0.0266801,361.644
49,0.0742581,0.0291879,368.753
50,0.0735129,0.0342418,375.623
51,0.0728086,0.0710731,382.464
52,0.0717653,0.0307675,389.312
53,0.0713051,0.0264555,396.143
54,0.0704892,0.0307646,403.04
55,0.0700752,0.0712432,409.906
56,0.0690861,0.0282343,416.795
57,0.0685408,0.0216976,423.678
58,0.0679566,0.0274263,430.538
59,0.0669895,0.0330618,437.409
60,0.0664458,0.0397813,450.619
61,0.0658129,0.0214385,457.525
62,0.0653523,0.0240482,464.397
63,0.0647892,0.0395857,471.282
64,0.0641752,0.0305719,478.149
65,0.0635383,0.0234241,485.014
66,0.0630445,0.0322775,491.893
67,0.0625721,0.0287718,498.766
68,0.0620441,0.0250974,505.665
69,0.0614853,0.0291914,512.554
70,0.0610144,0.0227684,519.426
71,0.0605357,0.0222685,526.291
72,0.0600334,0.0304902,533.084
73,0.0595167,0.0216202,539.929
74,0.0590914,0.020456,546.798
75,0.05863,0.0383149,553.574
76,0.0581836,0.0231306,560.447
77,0.0578864,0.0204124,567.202
